,_id,type
175,10943,1
176,4476,1
177,7968,1
178,260,1
179,23617,1
180,18284,1
181,29535,0
182,36594,0
183,398,1
184,32367,0
185,4636,1
186,34988,0
187,11252,1
188,7002,1
189,28262,1
190,7370,1
191,2972,1
192,21872,0
193,16978,1
194,37257,0
195,13634,1
196,25384,1
197,21212,1
198,24859,1
199,403,1
200,34425,0
201,31285,0
202,26508,1
203,9970,1
204,10506,1
205,12067,1
206,37655,0
207,12613,1
208,27411,1
209,30740,0
210,19747,1
211,10922,1
212,7538,1
213,14982,1
214,861,1
215,7936,1
216,22801,0
217,1111,1
218,23343,1
219,33060,0
220,15995,1
221,21250,1
222,21370,1
223,9303,1
224,7124,1
225,23443,1
226,29720,0
227,6023,1
228,17836,1
229,20426,1
230,6790,1
231,16058,1
232,3453,1
233,3090,1
234,24766,1
235,2878,1
236,15094,1
237,12036,1
238,9324,1
239,25015,1
240,6205,1
241,30193,0
242,26462,1
243,9626,1
244,31459,0
245,19012,1
246,8290,1
247,20898,1
248,31504,0
249,6882,1
250,4350,1
251,36730,0
252,10050,1
253,27573,0
254,10412,1
255,16247,1
256,32912,0
257,329,1
258,10484,1
259,10023,1
260,11029,1
261,24536,1
262,22285,1
263,25080,1
264,35588,0
265,27117,0
266,13549,1
267,28471,1
268,28003,0
269,32492,0
270,36635,0
271,15839,1
272,27726,1
273,4826,1
274,12874,1
275,8033,1
276,4401,1
277,29342,1
278,9709,1
279,20958,0
280,20941,1
281,12236,1
282,18130,1
283,22025,1
284,8528,1
285,28295,1
286,21536,1
287,23575,0
288,17433,1
289,22304,0
290,2370,1
291,33577,0
292,38072,0
293,22624,1
294,16327,1
295,12636,1
296,22119,0
297,18320,1
298,16471,1
299,9305,1
300,8738,1
301,5046,1
302,12151,1
303,13486,1
304,17916,1
305,36649,0
306,13199,1
307,8423,1
308,16451,1
309,1697,1
310,34471,0
311,31062,0
312,28785,1
313,17498,1
314,26220,1
315,23935,1
316,27068,0
317,3506,1
318,37791,0
319,214,1
320,9279,1
321,21834,1
322,9168,1
323,19484,1
324,24331,1
325,19252,1
326,7803,1
327,17170,1
328,4353,1
329,29627,0
330,8484,1
331,14737,1
332,33236,0
333,18048,1
334,25282,0
335,31402,0
336,27886,1
337,9451,1
