_id,protocol,hpfeed_id,timestamp,source_ip,destination_ip,identifier,honeypot,type
ObjectId(5e280d8a3186f205962be536),ICMP,ObjectId(5e280d893186f205962be482),2020-01-22T08:53:29.461Z,192.168.3.33,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280dad3186f205962c1189),ICMP,ObjectId(5e280da93186f205962c0cc1),2020-01-22T08:54:01.212Z,192.168.3.33,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280f273186f205962ccb50),ICMP,ObjectId(5e280f233186f205962cc5c6),2020-01-22T09:00:19.913Z,37.239.103.139,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280b1c3186f205962b192a),ICMP,ObjectId(5e280b193186f205962b14e1),2020-01-22T08:43:05.027Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280c503186f205962b92b4),ICMP,ObjectId(5e280c4f3186f205962b91cd),2020-01-22T08:48:15.304Z,192.168.3.18,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280ee13186f205962c77a1),ICMP,ObjectId(5e280edd3186f205962c7248),2020-01-22T08:59:09.313Z,106.169.95.77,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280f423186f205962cf2ed),ICMP,ObjectId(5e280f413186f205962cf15f),2020-01-22T09:00:49.477Z,75.81.200.82,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280ed73186f205962c6c0b),ICMP,ObjectId(5e280ed43186f205962c6830),2020-01-22T08:59:00.806Z,111.236.129.86,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280f3a3186f205962ce51a),ICMP,ObjectId(5e280f373186f205962ce041),2020-01-22T09:00:39.296Z,42.84.17.214,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280f8c3186f205962d5c03),ICMP,ObjectId(5e280f8a3186f205962d592e),2020-01-22T09:02:02.536Z,187.7.207.61,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280f533186f205962d0ef8),ICMP,ObjectId(5e280f4f3186f205962d094e),2020-01-22T09:01:03.555Z,242.141.217.19,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280ef93186f205962c96a5),ICMP,ObjectId(5e280ef63186f205962c9286),2020-01-22T08:59:34.520Z,33.50.176.157,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280f7a3186f205962d42ae),ICMP,ObjectId(5e280f783186f205962d3fcd),2020-01-22T09:01:44.267Z,34.39.43.143,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280da63186f205962c0967),ICMP,ObjectId(5e280da43186f205962c06f0),2020-01-22T08:53:56.098Z,192.168.3.33,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280ebc3186f205962c4b8e),ICMP,ObjectId(5e280eb93186f205962c4980),2020-01-22T08:58:33.600Z,103.218.3.45,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280b283186f205962b2906),ICMP,ObjectId(5e280b263186f205962b2743),2020-01-22T08:43:18.465Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280c533186f205962b984e),ICMP,ObjectId(5e280c513186f205962b9455),2020-01-22T08:48:17.103Z,192.168.3.18,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280d9e3186f205962c000d),ICMP,ObjectId(5e280d993186f205962bf9ac),2020-01-22T08:53:45.746Z,192.168.3.33,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280f7e3186f205962d48a4),ICMP,ObjectId(5e280f7a3186f205962d41fa),2020-01-22T09:01:46.171Z,118.79.202.34,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280dab3186f205962c0fa6),ICMP,ObjectId(5e280dab3186f205962c0f2e),2020-01-22T08:54:03.330Z,192.168.3.33,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280b623186f205962b6e58),ICMP,ObjectId(5e280b613186f205962b6d46),2020-01-22T08:44:17.318Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280b413186f205962b47b2),ICMP,ObjectId(5e280b3d3186f205962b42d7),2020-01-22T08:43:41.414Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280b513186f205962b5971),ICMP,ObjectId(5e280b4c3186f205962b542f),2020-01-22T08:43:56.896Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280f633186f205962d2515),ICMP,ObjectId(5e280f5e3186f205962d1d37),2020-01-22T09:01:18.165Z,108.227.132.84,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280f533186f205962d0eb8),ICMP,ObjectId(5e280f4f3186f205962d09ad),2020-01-22T09:01:03.740Z,124.50.98.86,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280ee93186f205962c818c),ICMP,ObjectId(5e280ee83186f205962c7fe9),2020-01-22T08:59:20.092Z,133.127.201.40,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280ec43186f205962c5432),ICMP,ObjectId(5e280ec43186f205962c53f4),2020-01-22T08:58:44.029Z,50.223.19.136,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280dad3186f205962c1109),ICMP,ObjectId(5e280da93186f205962c0d81),2020-01-22T08:54:01.716Z,192.168.3.33,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280b1c3186f205962b18db),ICMP,ObjectId(5e280b193186f205962b1559),2020-01-22T08:43:05.296Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280f773186f205962d3e99),ICMP,ObjectId(5e280f743186f205962d3b71),2020-01-22T09:01:40.991Z,131.124.175.122,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280c663186f205962bae1f),ICMP,ObjectId(5e280c633186f205962babd9),2020-01-22T08:48:35.874Z,192.168.3.18,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280ef43186f205962c8fd4),ICMP,ObjectId(5e280eef3186f205962c88ac),2020-01-22T08:59:27.147Z,175.187.33.100,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280b5a3186f205962b63fe),ICMP,ObjectId(5e280b563186f205962b5efb),2020-01-22T08:44:06.277Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280eea3186f205962c8262),ICMP,ObjectId(5e280ee73186f205962c7ea4),2020-01-22T08:59:19.275Z,11.75.15.235,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280f7b3186f205962d4343),ICMP,ObjectId(5e280f773186f205962d3eeb),2020-01-22T09:01:43.667Z,183.1.85.88,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280b3b3186f205962b405e),ICMP,ObjectId(5e280b383186f205962b3c6f),2020-01-22T08:43:36.107Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280c8e3186f205962bdf14),ICMP,ObjectId(5e280c8b3186f205962bdaaa),2020-01-22T08:49:15.381Z,192.168.3.18,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280d9d3186f205962bfe86),ICMP,ObjectId(5e280d9b3186f205962bfbf4),2020-01-22T08:53:47.082Z,192.168.3.33,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280c543186f205962b98be),ICMP,ObjectId(5e280c503186f205962b93a1),2020-01-22T08:48:16.708Z,192.168.3.18,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280f533186f205962d0fff),ICMP,ObjectId(5e280f4e3186f205962d07c0),2020-01-22T09:01:02.863Z,123.153.11.196,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280b513186f205962b594b),ICMP,ObjectId(5e280b4d3186f205962b5467),2020-01-22T08:43:57.031Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280c8e3186f205962bdf24),ICMP,ObjectId(5e280c8b3186f205962bda82),2020-01-22T08:49:15.322Z,192.168.3.18,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
