,_id,protocol,hpfeed_id,timestamp,source_ip,destination_ip,identifier,honeypot
368,20940,0,21108,21108,16788,0,0,0
369,37341,0,37351,37351,7246,0,0,0
370,6661,0,6720,6720,7247,0,0,0
371,4014,0,4078,4078,7246,0,0,0
372,30973,0,31199,31199,7318,0,0,0
373,29193,0,29384,29384,3931,0,0,0
374,30348,0,30397,30397,2859,0,0,0
375,31995,0,31725,31725,7273,0,0,0
376,20333,0,20128,20128,17206,0,0,0
377,20848,0,20678,20678,4470,0,0,0
378,21957,0,22110,22110,5017,0,0,0
379,22161,0,22395,22395,17237,0,0,0
380,7033,0,6881,6881,7247,0,0,0
381,24062,0,24160,24160,4869,0,0,0
382,8936,0,8880,8880,7247,0,0,0
383,12611,0,12750,12750,7248,0,0,0
384,6592,0,6789,6789,7247,0,0,0
385,35010,0,35084,35084,7247,0,0,0
386,20987,0,21061,21061,11114,0,0,0
387,38170,0,38219,38219,7246,0,0,0
388,31127,0,31045,31045,1239,0,0,0
389,27762,0,27694,27694,3366,0,0,0
390,20913,0,21135,21135,3734,0,0,0
391,2460,0,2268,2268,7246,0,0,0
392,33471,0,33492,33492,1287,0,0,0
393,15530,0,15628,15628,7248,0,0,0
394,12979,0,12841,12841,7248,0,0,0
395,35962,0,35713,35713,7247,0,0,0
396,29880,0,29703,29703,11353,0,0,0
397,3740,0,3914,3914,7246,0,0,0
398,36022,0,36204,36204,7247,0,0,0
399,8868,0,8948,8948,7247,0,0,0
400,4472,0,4484,4484,7246,0,0,0
401,14082,0,14126,14126,7248,0,0,0
402,37899,0,37869,37869,7246,0,0,0
403,33703,0,33875,33875,14280,0,0,0
404,26109,0,25994,25994,15394,0,0,0
405,597,0,403,403,7246,0,0,0
406,12945,0,12875,12875,7248,0,0,0
407,34190,0,34186,34186,7247,0,0,0
408,7995,0,7976,7976,7247,0,0,0
409,19069,0,18944,18944,7023,0,0,0
410,35212,0,35436,35436,7247,0,0,0
411,5536,0,5336,5336,7247,0,0,0
412,2035,0,2232,2232,7246,0,0,0
413,34582,0,34619,34619,7247,0,0,0
414,9464,0,9689,9689,7247,0,0,0
415,10762,0,10967,10967,7248,0,0,0
416,30645,0,30571,30571,8619,0,0,0
417,28957,0,29077,29077,11100,0,0,0
418,34481,0,34485,34485,7248,0,0,0
419,29922,0,30241,30241,12646,0,0,0
420,36253,0,35973,35973,7247,0,0,0
421,8770,0,8562,8562,7247,0,0,0
422,24046,0,24176,24176,2555,0,0,0
423,9491,0,9662,9662,7247,0,0,0
424,17097,0,17116,17116,5840,0,0,0
425,27606,0,27850,27850,9760,0,0,0
426,18725,0,18826,18826,8533,0,0,0
427,33707,0,33871,33871,3373,0,0,0
428,17723,0,17939,17939,5047,0,0,0
429,17931,0,17731,17731,9351,0,0,0
430,3557,0,3694,3694,7246,0,0,0
431,16812,0,16952,16952,9524,0,0,0
432,30685,0,30531,30531,17656,0,0,0
433,27952,0,28178,28178,12706,0,0,0
434,3491,0,3326,3326,7246,0,0,0
435,18886,0,18665,18665,1576,0,0,0
436,31891,0,31829,31829,11985,0,0,0
437,37985,0,38042,38042,7246,0,0,0
438,28459,0,28331,28331,7408,0,0,0
